timestamp,station_id,station_name,lat,lon,pm10,pm25,so2,no2,co,o3,wind_speed,wind_dir
2026-02-22 01:00:00,900c4af1-d77f-4b50-b1c1-7febc6d9c31d,İzmir - Bergama İBB,39.111204124660446,27.191391886630708,,,,,,,1.3,326
2026-02-22 01:00:00,00b1dcdb-702d-459b-8399-30548d8164ec,İzmir - Bornova,38.45461891681077,27.23111280466093,,19.06,,38.9,,10.68,3.3,167
2026-02-22 01:00:00,5095a053-4859-498f-88e9-bae31c596f7f,İzmir - Bornova İBB,38.469167,27.221389,26.0,,4.99,54.46,2261.6,,2.0,135
2026-02-22 01:00:00,45ee5bb3-7719-49b5-8889-6821e150ab60,İzmir - Çeşme,38.2790834780628,26.234103595129966,61.74,,,3.62,,65.02,8.2,229
2026-02-22 01:00:00,9edcc21d-67b8-45c4-ace2-a045b6e171cf,İzmir - Çiğli İBB,38.498056,27.067778,,,,,,,4.7,113
2026-02-22 01:00:00,376cfe9f-0a11-4483-8f49-c8f444bee984,İzmir - Eğitim İstasyonu,38.422165259929585,27.19976449638273,22.68,,2.81,37.07,1463.3,11.13,2.0,135
2026-02-22 01:00:00,e19afdb5-37a4-48d6-b13b-a04793312030,İzmir - Gaziemir,38.316893436729174,27.136239539610767,,,12.77,,,,5.8,150
2026-02-22 01:00:00,332d897b-81d5-427c-a278-6b9b841da3d5,İzmir - Güzelyalı İBB,38.395833,27.082778,20.0,,12.29,12.68,523.87,,5.1,141
2026-02-22 01:00:00,1f4e258c-2212-46b0-a3db-f97182b57737,İzmir - Karabağlar,38.384056105790336,27.106633183724778,22.99,,5.44,,583.23,36.19,5.9,142
2026-02-22 01:00:00,f85eedd5-224b-45e9-88fd-757fe4c0a72e,İzmir - Karaburun,38.58492,26.56373,,,,3.84,,65.29,5.4,200
2026-02-22 01:00:00,062c071b-d2cf-4315-a6bc-e7a81b99b9a2,İzmir - Karşıyaka,38.46074916731462,27.114558229177113,58.89,,,124.14,517.33,,4.7,113
2026-02-22 01:00:00,1eb466d5-8d74-495e-8b22-637febcdc5c2,İzmir - Karşıyaka İBB,38.454167,27.109722,17.34,,11.61,,,,4.7,113
2026-02-22 01:00:00,862bd2b3-3434-4a69-8b7a-1b9dccdec63c,İzmir - Konak,38.42389255025236,27.140729790282446,,42.74,,104.74,788.37,,2.0,135
2026-02-22 01:00:00,785688ab-6414-43cd-9b25-1491e0c49ec7,İzmir - Menemen,38.6102364226783,27.0776208058745,25.89,,4.04,27.67,679.31,7.23,1.0,45
2026-02-22 01:00:00,85142ffb-5e36-4ac9-a023-59e20533546a,İzmir - Ödemiş,38.22593958004211,27.97084577611242,23.05,,13.1,,1478.07,11.07,5.8,22
2026-02-22 01:00:00,4f00873d-af5c-49bf-97ea-b495a29e4271,İzmir - Şirinyer İBB,38.3825,27.148333,9.0,,5.88,,,,5.9,142
2026-02-22 01:00:00,7fb1186a-c269-4b5a-898f-8215d6903920,İzmir - Torbalı,38.14546137637555,27.362751197915003,29.25,,13.09,15.61,1107.94,69.03,2.7,203
2026-02-22 01:00:00,488a7170-05ff-4366-ba4b-a86d27d262e3,İzmir - Yenifoça,38.744728228074536,26.83168527962759,38.59,,,12.21,,42.36,3.2,153
